epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,3497.75,1.56057,1.42653,1.68244,0.79288,0.89286,0.87879,0.58925,1.36808,0.99345,1.53827,0.000883093,0.000883093,0.000883093
97,3534.08,1.54342,1.42702,1.70618,0.81596,0.8619,0.86953,0.5632,1.38657,0.98114,1.57645,0.000874842,0.000874842,0.000874842
98,3570.06,1.60605,1.45819,1.76598,0.89967,0.82619,0.90967,0.58201,1.41688,0.99266,1.60405,0.00086659,0.00086659,0.00086659
99,3606.65,1.60028,1.39016,1.68131,0.86881,0.87461,0.88592,0.5808,1.43818,1.02937,1.6295,0.000858338,0.000858338,0.000858338
100,3643.27,1.65138,1.48833,1.78513,0.86426,0.85714,0.8972,0.60917,1.32146,1.01571,1.51956,0.000850087,0.000850087,0.000850087
101,3679.88,1.58097,1.36182,1.64246,0.8253,0.8619,0.90493,0.62247,1.29948,1.02244,1.48142,0.000841835,0.000841835,0.000841835
102,3716.39,1.56084,1.36699,1.66081,0.91493,0.78157,0.88123,0.59954,1.32262,1.01302,1.49555,0.000833583,0.000833583,0.000833583
103,3753.57,1.53457,1.40025,1.64178,0.98545,0.7802,0.92288,0.60508,1.37893,0.95579,1.5328,0.000825332,0.000825332,0.000825332
104,3790.15,1.55099,1.4109,1.70812,0.88687,0.85714,0.89268,0.57604,1.44221,0.96625,1.59227,0.00081708,0.00081708,0.00081708
105,3826.47,1.53386,1.30186,1.625,0.90189,0.85714,0.89488,0.59836,1.34746,0.95466,1.53944,0.000808828,0.000808828,0.000808828
106,3862.88,1.53325,1.33686,1.67848,0.81345,0.89524,0.88304,0.58659,1.36046,1.01936,1.5573,0.000800577,0.000800577,0.000800577
107,3899.36,1.57207,1.33055,1.70127,0.84837,0.85952,0.87655,0.58298,1.39469,0.99694,1.58287,0.000792325,0.000792325,0.000792325
108,3935.42,1.50119,1.29481,1.66907,0.87342,0.87367,0.91461,0.5818,1.43975,1.02886,1.56794,0.000784073,0.000784073,0.000784073
109,3972.02,1.52842,1.35818,1.65113,0.89747,0.84379,0.91848,0.56753,1.37743,0.98021,1.55878,0.000775822,0.000775822,0.000775822
110,4011.93,1.49654,1.29309,1.61546,0.92104,0.88245,0.91795,0.59386,1.30665,0.93677,1.49822,0.00076757,0.00076757,0.00076757
111,4048.42,1.54868,1.37074,1.65585,0.89546,0.8828,0.92664,0.55011,1.46938,0.98772,1.63617,0.000759318,0.000759318,0.000759318
112,4085.11,1.51585,1.31022,1.64808,0.86044,0.85952,0.89892,0.57059,1.41054,0.97719,1.58606,0.000751067,0.000751067,0.000751067
113,4121.56,1.50151,1.28786,1.64403,0.85174,0.88915,0.89442,0.59413,1.33138,0.91829,1.50796,0.000742815,0.000742815,0.000742815
114,4158.12,1.50699,1.27255,1.63366,0.8287,0.89286,0.89284,0.57513,1.37623,0.92197,1.55349,0.000734564,0.000734564,0.000734564
115,4194.66,1.42885,1.22515,1.5868,0.88757,0.84369,0.89456,0.56879,1.37165,0.91301,1.56499,0.000726312,0.000726312,0.000726312
116,4231.28,1.45005,1.21233,1.58254,0.91119,0.78371,0.90404,0.59867,1.307,0.92432,1.50887,0.00071806,0.00071806,0.00071806
117,4267.8,1.45367,1.21118,1.56804,0.86757,0.88955,0.91298,0.58284,1.34985,0.88467,1.54706,0.000709809,0.000709809,0.000709809
118,4304.19,1.4775,1.27783,1.60698,0.83855,0.82143,0.8935,0.55666,1.47431,0.96633,1.64322,0.000701557,0.000701557,0.000701557
119,4340.71,1.51391,1.26079,1.67979,0.91477,0.91714,0.9237,0.5739,1.47771,0.95594,1.65259,0.000693305,0.000693305,0.000693305
120,4377.51,1.48226,1.22494,1.60626,0.98619,0.85714,0.92188,0.59357,1.39421,0.91863,1.56137,0.000685054,0.000685054,0.000685054
121,4413.8,1.46045,1.26751,1.62445,0.90252,0.91564,0.93233,0.59289,1.39193,0.87902,1.56082,0.000676802,0.000676802,0.000676802
122,4450.48,1.42,1.17126,1.52771,0.88988,0.91219,0.9351,0.57439,1.44619,0.90291,1.60593,0.00066855,0.00066855,0.00066855
123,4487.03,1.47298,1.19806,1.55514,0.96972,0.8374,0.9325,0.57082,1.43662,1.00454,1.62255,0.000660299,0.000660299,0.000660299
124,4523.14,1.42659,1.17582,1.54468,0.91792,0.87237,0.92612,0.6213,1.31953,0.91111,1.47732,0.000652047,0.000652047,0.000652047
125,4559.74,1.43149,1.2418,1.58135,0.94934,0.85714,0.91274,0.6021,1.3683,0.87644,1.51477,0.000643795,0.000643795,0.000643795
126,4596.14,1.39286,1.18167,1.55091,0.90253,0.85714,0.9195,0.59341,1.32619,0.82774,1.48495,0.000635544,0.000635544,0.000635544
127,4635.34,1.39248,1.20785,1.56254,0.92528,0.92857,0.93751,0.59987,1.36452,0.8736,1.51247,0.000627292,0.000627292,0.000627292
128,4671.74,1.41282,1.2019,1.55518,0.87087,0.91277,0.90324,0.53323,1.44489,0.93829,1.59739,0.00061904,0.00061904,0.00061904
129,4708.33,1.4166,1.17962,1.55015,0.92525,0.89286,0.91579,0.54772,1.41331,0.96765,1.59246,0.000610789,0.000610789,0.000610789
130,4744.74,1.44456,1.17063,1.61687,0.84969,0.89286,0.90279,0.56369,1.37972,0.92445,1.56409,0.000602537,0.000602537,0.000602537
131,4781.32,1.39218,1.14043,1.53528,0.92175,0.89286,0.91993,0.56027,1.41972,0.90342,1.60372,0.000594286,0.000594286,0.000594286
132,4817.7,1.35871,1.13658,1.48801,0.88506,0.85714,0.90389,0.54365,1.45608,0.8675,1.62617,0.000586034,0.000586034,0.000586034
133,4854.14,1.35368,1.13602,1.52082,0.81346,0.92301,0.90275,0.54845,1.47574,0.88074,1.622,0.000577782,0.000577782,0.000577782
134,4890.71,1.37438,1.17187,1.5645,0.95388,0.84489,0.92757,0.58625,1.44594,0.88558,1.57199,0.000569531,0.000569531,0.000569531
135,4927.2,1.40777,1.17641,1.53452,0.90286,0.85954,0.93146,0.58594,1.42106,0.8934,1.54587,0.000561279,0.000561279,0.000561279
136,4962.79,1.44889,1.17801,1.56673,0.95766,0.79232,0.92026,0.53538,1.53823,0.93749,1.67861,0.000553027,0.000553027,0.000553027
137,4999,1.34778,1.0914,1.4728,0.92923,0.92164,0.94819,0.57258,1.46516,0.88391,1.60893,0.000544776,0.000544776,0.000544776
138,5035.17,1.40839,1.17783,1.55484,0.96299,0.89159,0.94569,0.58918,1.39257,0.84795,1.55222,0.000536524,0.000536524,0.000536524
139,5071.61,1.34072,1.06867,1.44615,0.98306,0.85404,0.94263,0.56995,1.41032,0.84227,1.54803,0.000528272,0.000528272,0.000528272
140,5108.2,1.39216,1.12649,1.48597,0.88669,0.89286,0.93749,0.58701,1.39285,0.83608,1.54455,0.000520021,0.000520021,0.000520021
141,5144.63,1.37973,1.12177,1.52288,0.88965,0.89043,0.92896,0.56412,1.39563,0.85711,1.59498,0.000511769,0.000511769,0.000511769
142,5181.19,1.36981,1.14532,1.51111,0.89985,0.89685,0.92706,0.59125,1.3361,0.82973,1.5318,0.000503517,0.000503517,0.000503517
143,5217.75,1.36901,1.11595,1.53716,0.91281,0.92857,0.93468,0.59896,1.3314,0.84518,1.52287,0.000495266,0.000495266,0.000495266
144,5254.32,1.32526,1.07268,1.46353,0.83361,0.92857,0.90979,0.56734,1.38326,0.86751,1.5396,0.000487014,0.000487014,0.000487014
145,5291,1.36692,1.10677,1.54131,0.8613,0.92857,0.9242,0.54838,1.46363,0.88378,1.5909,0.000478762,0.000478762,0.000478762
146,5327.69,1.41043,1.1725,1.55249,0.9741,0.88358,0.93806,0.59054,1.38694,0.82791,1.55224,0.000470511,0.000470511,0.000470511
147,5364.06,1.37533,1.17812,1.51314,0.87507,0.93294,0.94395,0.62741,1.29526,0.79163,1.48423,0.000462259,0.000462259,0.000462259
